Genes	Description	Preferred_name
Mhon_000001	Phytanoyl-CoA	-
Mhon_000014	-	-
Mhon_000015	-	-
Mhon_000028	-	-
Mhon_000037	Ribonuclease H protein	-
Mhon_000039	Eukaryotic translation initiation factor 4 gamma	Eif4g
Mhon_000040	Cop9 signalosome complex subunit	-
Mhon_000041	Norrie disease (pseudoglioma)	-
Mhon_000042	Transcription initiation factor TFIID subunit	-
Mhon_000044	negative regulation of heat generation	-
Mhon_000049	activator of morphogenesis 2	DAAM
Mhon_000052	Transport protein Avl9	-
Mhon_000057	Myb/SANT-like DNA-binding domain	-
Mhon_000058	homolog subfamily B member	-
Mhon_000064	cysteine-tRNA ligase activity	-
Mhon_000065	Solute carrier family 27 (Fatty acid transporter), member	-
Mhon_000069	growth factor 2 receptor	Lerp
Mhon_000073	enolase 2	enol-1
Mhon_000077	NOSIC (NUC001) domain	nol-5
Mhon_000082	Cytochrome P450	-
Mhon_000088	myb-like transcription factor	-
Mhon_000092	ubiquitin conjugating enzyme activity	Bruce
Mhon_000094	ubiquitin conjugating enzyme activity	Bruce
Mhon_000096	Trypsin-like serine protease	-
Mhon_000099	It is involved in the biological process described with intracellular protein transport	Stam
Mhon_000102	G8	-
Mhon_000112	Solute carrier family 27 (Fatty acid transporter), member	-
Mhon_000113	cerebellar Purkinje cell differentiation	-
Mhon_000116	RNA trimethylguanosine synthase activity	-
Mhon_000124	Trypsin-like serine protease	-
Mhon_000126	Endoplasmic reticulum-Golgi intermediate compartment protein 3	-
Mhon_000135	Uncharacterized protein conserved in bacteria (DUF2064)	-
Mhon_000153	Proteasome activator complex subunit 4	psme4
Mhon_000175	Leucine-rich repeat flightless-interacting protein	-
Mhon_000176	F5/8 type C domain	-
Mhon_000190	response to amino acid starvation	mio
Mhon_000203	tachykinin receptor activity	-
Mhon_000204	G-protein coupled receptor activity	-
Mhon_000205	tachykinin receptor activity	-
Mhon_000208	7 transmembrane receptor (rhodopsin family)	-
Mhon_000211	ubiquitin-like protein-specific isopeptidase activity	-
Mhon_000212	ubiquitin-like protein-specific isopeptidase activity	-
Mhon_000214	Diacylglycerol kinase catalytic domain	-
Mhon_000215	Diacylglycerol kinase catalytic domain	-
Mhon_000227	THAP	-
Mhon_000237	hypoxanthine phosphoribosyltransferase activity	-
Mhon_000238	Peptidase family C69	-
Mhon_000239	citrate (Si)-synthase activity	-
Mhon_000240	Chromosome segregation protein Spc25	-
Mhon_000241	lipid droplet organization	-
Mhon_000242	ADAM Cysteine-Rich Domain	mmd
Mhon_000245	positive regulation of DNA-binding transcription factor activity	-
Mhon_000253	protein-like 2	-
Mhon_000258	Endo exonuclease (5'-3'), endonuclease G-like	-
Mhon_000259	Endo exonuclease (5'-3'), endonuclease G-like	-
Mhon_000260	Armadillo/beta-catenin-like repeats	-
Mhon_000263	endocytosis	-
Mhon_000267	endocytosis	-
Mhon_000271	helix loop helix domain	hlh-13
Mhon_000273	receptor	-
