ko	Genes
K00477	Mhon_000001
K03260	Mhon_000039
K12179	Mhon_000040
K03133	Mhon_000042
K14535	Mhon_000042
K04512	Mhon_000049
K09508	Mhon_000058
K09512	Mhon_000058
K01883	Mhon_000064
K08745	Mhon_000065
K06564	Mhon_000069
K01689	Mhon_000073
K14565	Mhon_000077
K21625	Mhon_000088
K10586	Mhon_000092
K10586	Mhon_000094
K01316	Mhon_000096
K09614	Mhon_000096
K09640	Mhon_000096
K04705	Mhon_000099
K08745	Mhon_000112
K10408	Mhon_000116
K14292	Mhon_000116
K01316	Mhon_000124
K09614	Mhon_000124
K09640	Mhon_000124
K20367	Mhon_000126
K06699	Mhon_000153
K20407	Mhon_000190
K04239	Mhon_000208
K08592	Mhon_000211
K08592	Mhon_000212
K19602	Mhon_000214
K19602	Mhon_000215
K00760	Mhon_000237
K14358	Mhon_000238
K01647	Mhon_000239
K11550	Mhon_000240
K07910	Mhon_000241
K08610	Mhon_000242
K01173	Mhon_000258
K15050	Mhon_000258
K01173	Mhon_000259
K15050	Mhon_000259
K20126	Mhon_000263
K20126	Mhon_000267
K04585	Mhon_000273
K04586	Mhon_000273
K04589	Mhon_000273
K20407	Mhon_000287
K00727	Mhon_000298
K09662	Mhon_000298
K14320	Mhon_000301
K19828	Mhon_000310
K12026	Mhon_000314
K13248	Mhon_000318
K13248	Mhon_000322
K13248	Mhon_000325
K01007	Mhon_000371
K01007	Mhon_000376
K12323	Mhon_000393
K12324	Mhon_000393
K08746	Mhon_000402
K08749	Mhon_000402
K20879	Mhon_000418
K11182	Mhon_000419
K04716	Mhon_000420
K08864	Mhon_000421
K08864	Mhon_000422
K21396	Mhon_000423
K17704	Mhon_000427
K07834	Mhon_000441
K07834	Mhon_000442
K15144	Mhon_000443
K07831	Mhon_000444
K09073	Mhon_000446
K09073	Mhon_000447
K05312	Mhon_000451
K05940	Mhon_000452
K01756	Mhon_000482
K10389	Mhon_000483
K08804	Mhon_000484
K09624	Mhon_000488
K06252	Mhon_000492
K17461	Mhon_000512
K20184	Mhon_000515
K09368	Mhon_000518
K09368	Mhon_000519
K10396	Mhon_000525
K10396	Mhon_000526
K00710	Mhon_000533
K11869	Mhon_000535
K11869	Mhon_000538
K03934	Mhon_000539
K03232	Mhon_000540
K15410	Mhon_000540
K03934	Mhon_000543
K03232	Mhon_000544
K15410	Mhon_000544
K00747	Mhon_000568
K03419	Mhon_000568
K03066	Mhon_000569
K03066	Mhon_000573
K15528	Mhon_000592
K19176	Mhon_000592
K07950	Mhon_000595
K15902	Mhon_000596
K11667	Mhon_000598
K04811	Mhon_000600
K05312	Mhon_000600
K02932	Mhon_000602
K09521	Mhon_000602
K14621	Mhon_000607
K06560	Mhon_000617
K10065	Mhon_000617
K17513	Mhon_000617
K14611	Mhon_000627
K14611	Mhon_000628
K09070	Mhon_000631
K06058	Mhon_000635
K11997	Mhon_000635
K12026	Mhon_000635
K10104	Mhon_000643
K05466	Mhon_000644
K09624	Mhon_000644
K05466	Mhon_000650
K09624	Mhon_000650
K06252	Mhon_000651
K05466	Mhon_000652
K09624	Mhon_000652
K03905	Mhon_000655
K08536	Mhon_000656
K14034	Mhon_000656
K07963	Mhon_000672
K16733	Mhon_000674
K05758	Mhon_000675
K11406	Mhon_000678
K02599	Mhon_000680
K16601	Mhon_000687
K14552	Mhon_000688
K14552	Mhon_000693
K12196	Mhon_000752
K00485	Mhon_000765
K00485	Mhon_000766
K13130	Mhon_000776
K01315	Mhon_000781
K09644	Mhon_000781
K20315	Mhon_000787
K07435	Mhon_000798
K07435	Mhon_000802
K07435	Mhon_000807
K07435	Mhon_000809
K00789	Mhon_000810
K07435	Mhon_000811
K00789	Mhon_000812
K12828	Mhon_000814
K01206	Mhon_000820
K00423	Mhon_000825
K04578	Mhon_000829
K04579	Mhon_000829
K04578	Mhon_000833
K04579	Mhon_000833
K01049	Mhon_000836
K08967	Mhon_000850
K12323	Mhon_000851
