KOG	Genes
I	Mhon_000001
E	Mhon_000037
J	Mhon_000039
O	Mhon_000040
T	Mhon_000040
V	Mhon_000041
W	Mhon_000041
K	Mhon_000042
S	Mhon_000044
T	Mhon_000049
Z	Mhon_000049
S	Mhon_000052
S	Mhon_000057
O	Mhon_000058
J	Mhon_000064
I	Mhon_000065
T	Mhon_000069
U	Mhon_000069
G	Mhon_000073
A	Mhon_000077
J	Mhon_000077
Q	Mhon_000082
K	Mhon_000088
D	Mhon_000092
O	Mhon_000092
D	Mhon_000094
O	Mhon_000094
O	Mhon_000096
T	Mhon_000099
S	Mhon_000102
I	Mhon_000112
T	Mhon_000113
I	Mhon_000116
O	Mhon_000124
U	Mhon_000126
S	Mhon_000135
E	Mhon_000153
S	Mhon_000175
S	Mhon_000176
S	Mhon_000190
S	Mhon_000203
O	Mhon_000204
S	Mhon_000205
T	Mhon_000208
O	Mhon_000211
O	Mhon_000212
I	Mhon_000214
T	Mhon_000214
I	Mhon_000215
T	Mhon_000215
S	Mhon_000227
F	Mhon_000237
E	Mhon_000238
C	Mhon_000239
S	Mhon_000240
U	Mhon_000241
O	Mhon_000242
S	Mhon_000245
K	Mhon_000253
F	Mhon_000258
F	Mhon_000259
S	Mhon_000260
T	Mhon_000263
T	Mhon_000267
K	Mhon_000271
T	Mhon_000273
S	Mhon_000287
S	Mhon_000288
G	Mhon_000298
O	Mhon_000301
C	Mhon_000310
O	Mhon_000313
O	Mhon_000314
S	Mhon_000316
S	Mhon_000317
S	Mhon_000318
S	Mhon_000322
S	Mhon_000325
S	Mhon_000343
S	Mhon_000359
S	Mhon_000360
S	Mhon_000362
G	Mhon_000371
G	Mhon_000376
S	Mhon_000382
T	Mhon_000393
T	Mhon_000397
I	Mhon_000402
T	Mhon_000418
Q	Mhon_000419
I	Mhon_000420
T	Mhon_000421
T	Mhon_000422
Q	Mhon_000423
T	Mhon_000427
U	Mhon_000441
U	Mhon_000442
K	Mhon_000443
S	Mhon_000444
K	Mhon_000446
K	Mhon_000447
U	Mhon_000451
I	Mhon_000452
F	Mhon_000482
Z	Mhon_000483
T	Mhon_000484
O	Mhon_000488
T	Mhon_000492
S	Mhon_000506
S	Mhon_000507
I	Mhon_000512
Q	Mhon_000512
U	Mhon_000515
K	Mhon_000518
K	Mhon_000519
Z	Mhon_000525
Z	Mhon_000526
O	Mhon_000533
O	Mhon_000535
O	Mhon_000538
C	Mhon_000539
K	Mhon_000540
S	Mhon_000542
C	Mhon_000543
K	Mhon_000544
S	Mhon_000545
C	Mhon_000547
S	Mhon_000551
C	Mhon_000560
C	Mhon_000561
O	Mhon_000568
O	Mhon_000569
O	Mhon_000570
O	Mhon_000573
S	Mhon_000586
S	Mhon_000587
S	Mhon_000588
S	Mhon_000590
I	Mhon_000592
J	Mhon_000592
T	Mhon_000592
U	Mhon_000595
S	Mhon_000596
S	Mhon_000598
T	Mhon_000600
O	Mhon_000602
S	Mhon_000606
I	Mhon_000607
T	Mhon_000617
V	Mhon_000617
S	Mhon_000620
F	Mhon_000627
F	Mhon_000628
U	Mhon_000629
K	Mhon_000631
O	Mhon_000635
S	Mhon_000637
T	Mhon_000638
S	Mhon_000642
S	Mhon_000643
S	Mhon_000644
S	Mhon_000645
S	Mhon_000649
S	Mhon_000650
T	Mhon_000651
S	Mhon_000652
S	Mhon_000655
K	Mhon_000656
U	Mhon_000672
T	Mhon_000674
Z	Mhon_000675
B	Mhon_000678
O	Mhon_000680
O	Mhon_000687
S	Mhon_000688
S	Mhon_000693
S	Mhon_000717
T	Mhon_000718
S	Mhon_000719
T	Mhon_000729
O	Mhon_000752
S	Mhon_000757
Q	Mhon_000765
Q	Mhon_000766
