KEGG	Genes
ko04146	Mhon_000001
ko03013	Mhon_000039
ko05416	Mhon_000039
ko03022	Mhon_000042
ko05168	Mhon_000042
ko04310	Mhon_000049
ko04141	Mhon_000058
ko00970	Mhon_000064
ko03320	Mhon_000065
ko04931	Mhon_000065
ko04142	Mhon_000069
ko04144	Mhon_000069
ko00010	Mhon_000073
ko00680	Mhon_000073
ko01100	Mhon_000073
ko01110	Mhon_000073
ko01120	Mhon_000073
ko01130	Mhon_000073
ko01200	Mhon_000073
ko01230	Mhon_000073
ko03018	Mhon_000073
ko04066	Mhon_000073
ko03008	Mhon_000077
ko04120	Mhon_000092
ko04214	Mhon_000092
ko04215	Mhon_000092
ko04120	Mhon_000094
ko04214	Mhon_000094
ko04215	Mhon_000094
ko04144	Mhon_000099
ko04630	Mhon_000099
ko03320	Mhon_000112
ko04931	Mhon_000112
ko03013	Mhon_000116
ko05016	Mhon_000116
ko03050	Mhon_000153
ko04150	Mhon_000190
ko04080	Mhon_000208
ko00230	Mhon_000237
ko00983	Mhon_000237
ko01100	Mhon_000237
ko01110	Mhon_000237
ko00020	Mhon_000239
ko00630	Mhon_000239
ko01100	Mhon_000239
ko01110	Mhon_000239
ko01120	Mhon_000239
ko01130	Mhon_000239
ko01200	Mhon_000239
ko01210	Mhon_000239
ko01230	Mhon_000239
ko04210	Mhon_000258
ko04210	Mhon_000259
ko04080	Mhon_000273
ko04961	Mhon_000273
ko04150	Mhon_000287
ko00512	Mhon_000298
ko01100	Mhon_000298
ko03013	Mhon_000301
ko00750	Mhon_000318
ko01100	Mhon_000318
ko00750	Mhon_000322
ko01100	Mhon_000322
ko00750	Mhon_000325
ko01100	Mhon_000325
ko00620	Mhon_000371
ko00680	Mhon_000371
ko00720	Mhon_000371
ko01100	Mhon_000371
ko01120	Mhon_000371
ko01200	Mhon_000371
ko00620	Mhon_000376
ko00680	Mhon_000376
ko00720	Mhon_000376
ko01100	Mhon_000376
ko01120	Mhon_000376
ko01200	Mhon_000376
ko00230	Mhon_000393
ko04022	Mhon_000393
ko04024	Mhon_000393
ko04270	Mhon_000393
ko04714	Mhon_000393
ko04921	Mhon_000393
ko04923	Mhon_000393
ko04924	Mhon_000393
ko04925	Mhon_000393
ko03320	Mhon_000402
ko04146	Mhon_000402
ko04931	Mhon_000402
ko00330	Mhon_000419
ko00340	Mhon_000419
ko00380	Mhon_000419
ko01100	Mhon_000419
ko00600	Mhon_000420
ko04071	Mhon_000420
ko04015	Mhon_000427
ko04611	Mhon_000427
ko04014	Mhon_000441
ko04015	Mhon_000441
ko04072	Mhon_000441
ko05200	Mhon_000441
ko05210	Mhon_000441
ko05212	Mhon_000441
ko04014	Mhon_000442
ko04015	Mhon_000442
ko04072	Mhon_000442
ko05200	Mhon_000442
ko05210	Mhon_000442
ko05212	Mhon_000442
ko01522	Mhon_000443
ko04919	Mhon_000443
ko04010	Mhon_000444
ko04014	Mhon_000444
ko04015	Mhon_000444
ko04072	Mhon_000444
ko04137	Mhon_000444
ko04140	Mhon_000444
ko04218	Mhon_000444
ko04371	Mhon_000444
ko04810	Mhon_000444
ko05166	Mhon_000444
ko05205	Mhon_000444
ko04146	Mhon_000452
ko00230	Mhon_000482
ko00250	Mhon_000482
ko01100	Mhon_000482
ko01110	Mhon_000482
ko01130	Mhon_000482
ko05165	Mhon_000483
ko04151	Mhon_000492
ko04510	Mhon_000492
ko04512	Mhon_000492
ko05165	Mhon_000492
ko05206	Mhon_000492
ko05206	Mhon_000512
ko04138	Mhon_000515
ko04144	Mhon_000525
ko04728	Mhon_000525
ko04144	Mhon_000526
ko04728	Mhon_000526
ko00512	Mhon_000533
ko01100	Mhon_000533
ko00190	Mhon_000539
ko01100	Mhon_000539
ko04714	Mhon_000539
ko04723	Mhon_000539
ko04932	Mhon_000539
ko05010	Mhon_000539
ko05012	Mhon_000539
ko05016	Mhon_000539
ko05168	Mhon_000540
ko00190	Mhon_000543
ko01100	Mhon_000543
ko04714	Mhon_000543
ko04723	Mhon_000543
ko04932	Mhon_000543
ko05010	Mhon_000543
ko05012	Mhon_000543
ko05016	Mhon_000543
ko05168	Mhon_000544
ko00532	Mhon_000568
ko01100	Mhon_000568
ko03050	Mhon_000569
ko05169	Mhon_000569
ko03050	Mhon_000573
ko05169	Mhon_000573
ko04723	Mhon_000592
ko04080	Mhon_000600
ko03010	Mhon_000602
ko04141	Mhon_000602
ko00564	Mhon_000607
ko00565	Mhon_000607
ko00590	Mhon_000607
ko00591	Mhon_000607
ko00592	Mhon_000607
ko01100	Mhon_000607
ko01110	Mhon_000607
ko04977	Mhon_000607
ko04145	Mhon_000617
ko05152	Mhon_000617
ko04330	Mhon_000635
ko04010	Mhon_000644
ko04014	Mhon_000644
ko04015	Mhon_000644
ko04066	Mhon_000644
ko04151	Mhon_000644
ko05167	Mhon_000644
ko04010	Mhon_000650
ko04014	Mhon_000650
ko04015	Mhon_000650
ko04066	Mhon_000650
ko04151	Mhon_000650
ko05167	Mhon_000650
ko04151	Mhon_000651
ko04510	Mhon_000651
ko04512	Mhon_000651
ko05165	Mhon_000651
ko05206	Mhon_000651
ko04010	Mhon_000652
ko04014	Mhon_000652
ko04015	Mhon_000652
ko04066	Mhon_000652
ko04151	Mhon_000652
ko05167	Mhon_000652
ko04610	Mhon_000655
ko04611	Mhon_000655
ko05150	Mhon_000655
ko03320	Mhon_000656
ko04214	Mhon_000656
ko04931	Mhon_000656
ko04932	Mhon_000656
ko05160	Mhon_000656
ko04144	Mhon_000675
ko04666	Mhon_000675
ko04810	Mhon_000675
ko05100	Mhon_000675
ko05130	Mhon_000675
ko05131	Mhon_000675
ko05132	Mhon_000675
ko04371	Mhon_000678
ko05034	Mhon_000678
ko05165	Mhon_000678
ko05169	Mhon_000678
ko05203	Mhon_000678
ko01522	Mhon_000680
ko04320	Mhon_000680
ko04330	Mhon_000680
ko04658	Mhon_000680
ko04919	Mhon_000680
ko05020	Mhon_000680
ko05165	Mhon_000680
ko05200	Mhon_000680
ko05206	Mhon_000680
ko05224	Mhon_000680
ko03008	Mhon_000688
ko03008	Mhon_000693
ko04144	Mhon_000752
ko04217	Mhon_000752
ko00982	Mhon_000765
ko01120	Mhon_000765
ko00982	Mhon_000766
ko01120	Mhon_000766
ko03013	Mhon_000776
